codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C,Numero
198495,C,2025-10-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.016,82",54906,100,2,2,0,1,1,5137,54906
198444,D,2025-10-20 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.016,52",2025121,S,341,0,29,1,2,2587,2025121
197631,C,2025-09-02 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.016,31",54827,100,237,2,0,4,1,3363,54827
194206,D,2025-02-11 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.015,76",26348,1,237,0,22,3,2,2286,26348
198491,C,2025-10-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.015,50",54891,100,2,2,0,1,1,5464,54891
193707,D,2025-01-13 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.015,45",26348,1,237,0,22,2,2,2286,26348
195525,C,2025-04-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.014,97",54494,100,237,2,0,1,1,5794,54494
199156,D,2025-12-02 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.014,86",718343,100,2,0,22,1,3,5562,718343
195100,C,2025-04-04 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.014,11",54288,100,237,2,0,2,1,1514,54288
195422,C,2025-04-22 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.014,11",54288,100,237,2,0,3,1,1514,54288
195606,C,2025-05-05 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.014,11",54288,100,237,2,0,4,1,1514,54288
197046,C,2025-07-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.013,84",54947,100,237,2,0,1,1,381,54947
197390,C,2025-08-15 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.013,52",55082,100,237,2,0,1,1,5753,55082
198952,D,2025-11-19 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.012,92",60383,1,2,0,22,1,2,245,60383
199037,D,2025-11-24 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.011,56",480,1,2,0,21,1,2,5210,480
197531,C,2025-08-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.010,58",55064,100,237,2,0,2,1,2339,55064
197719,C,2025-09-08 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.010,57",55064,100,237,2,0,3,1,2339,55064
195506,C,2025-04-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.009,90",54507,100,237,2,0,1,1,5244,54507
197818,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.009,80",54644,100,237,2,0,1,1,2424,54644
194056,C,2025-01-30 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.009,80",53855,100,237,2,0,2,1,2502,53855
194512,C,2025-02-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.009,43",54059,100,237,2,0,1,1,3363,54059
197913,D,2025-09-15 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.008,80",437,1,237,0,21,1,2,5210,437
198078,D,2025-09-25 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.007,59",59737,1,237,0,22,1,2,245,59737
